22:28:06 : Epoch: 1
22:28:33 : Epoch: 1
22:28:55 : Epoch: 1
22:29:16 : Epoch: 1
22:30:32 : Epoch: 1
22:30:53 : Epoch: 1
22:31:24 : Epoch: 1
22:31:51 : Epoch: 1
22:32:48 : Epoch: 1
22:33:09 : Epoch: 1
22:36:23 : Epoch: 1
22:37:12 : Epoch: 1
22:39:02 : Epoch: 1
22:41:57 : Epoch 0001 | Step 0785 / 2968 | Loss 1.4622 | Time 174.3875
22:41:58 : Epoch 0001 | Step 0790 / 2968 | Loss 1.4605 | Time 175.4917
22:41:59 : Epoch 0001 | Step 0795 / 2968 | Loss 1.4592 | Time 176.5852
22:42:00 : Epoch 0001 | Step 0800 / 2968 | Loss 1.4558 | Time 177.6759
22:42:01 : Epoch 0001 | Step 0805 / 2968 | Loss 1.4545 | Time 178.7754
22:42:02 : Epoch 0001 | Step 0810 / 2968 | Loss 1.4521 | Time 179.8686
22:42:03 : Epoch 0001 | Step 0815 / 2968 | Loss 1.4509 | Time 180.9627
22:42:04 : Epoch 0001 | Step 0820 / 2968 | Loss 1.4485 | Time 182.0469
22:42:05 : Epoch 0001 | Step 0825 / 2968 | Loss 1.4464 | Time 183.1382
22:42:06 : Epoch 0001 | Step 0830 / 2968 | Loss 1.4445 | Time 184.2314
22:42:08 : Epoch 0001 | Step 0835 / 2968 | Loss 1.4429 | Time 185.3397
22:42:09 : Epoch 0001 | Step 0840 / 2968 | Loss 1.4422 | Time 186.4415
22:42:10 : Epoch 0001 | Step 0845 / 2968 | Loss 1.4403 | Time 187.5288
22:42:11 : Epoch 0001 | Step 0850 / 2968 | Loss 1.4376 | Time 188.6170
22:42:12 : Epoch 0001 | Step 0855 / 2968 | Loss 1.4344 | Time 189.7283
22:42:13 : Epoch 0001 | Step 0860 / 2968 | Loss 1.4326 | Time 190.8320
22:42:14 : Epoch 0001 | Step 0865 / 2968 | Loss 1.4307 | Time 191.9493
22:42:15 : Epoch 0001 | Step 0870 / 2968 | Loss 1.4289 | Time 193.0933
22:42:16 : Epoch 0001 | Step 0875 / 2968 | Loss 1.4276 | Time 194.2304
22:42:18 : Epoch 0001 | Step 0880 / 2968 | Loss 1.4245 | Time 195.4672
22:42:19 : Epoch 0001 | Step 0885 / 2968 | Loss 1.4224 | Time 196.5935
22:42:20 : Epoch 0001 | Step 0890 / 2968 | Loss 1.4219 | Time 197.7034
22:42:21 : Epoch 0001 | Step 0895 / 2968 | Loss 1.4198 | Time 198.8057
22:42:22 : Epoch 0001 | Step 0900 / 2968 | Loss 1.4182 | Time 199.9203
22:42:23 : Epoch 0001 | Step 0905 / 2968 | Loss 1.4164 | Time 201.0445
22:42:24 : Epoch 0001 | Step 0910 / 2968 | Loss 1.4143 | Time 202.1507
22:42:25 : Epoch 0001 | Step 0915 / 2968 | Loss 1.4124 | Time 203.2430
22:42:27 : Epoch 0001 | Step 0920 / 2968 | Loss 1.4113 | Time 204.3379
22:42:28 : Epoch 0001 | Step 0925 / 2968 | Loss 1.4086 | Time 205.4452
