23:55:15 : Epoch: 1
01:14:31 : Epoch 0001 | Step 0525 / 2968 | Loss 1.4979 | Time 131.4059
01:14:32 : Epoch 0001 | Step 0530 / 2968 | Loss 1.4972 | Time 132.6482
01:14:33 : Epoch 0001 | Step 0535 / 2968 | Loss 1.4965 | Time 133.9072
01:14:34 : Epoch 0001 | Step 0540 / 2968 | Loss 1.4968 | Time 135.1564
01:14:36 : Epoch 0001 | Step 0545 / 2968 | Loss 1.4963 | Time 136.4112
01:14:37 : Epoch 0001 | Step 0550 / 2968 | Loss 1.4963 | Time 137.6555
01:14:38 : Epoch 0001 | Step 0555 / 2968 | Loss 1.4963 | Time 138.9133
01:14:39 : Epoch 0001 | Step 0560 / 2968 | Loss 1.4963 | Time 140.1666
01:14:41 : Epoch 0001 | Step 0565 / 2968 | Loss 1.4958 | Time 141.4089
01:14:42 : Epoch 0001 | Step 0570 / 2968 | Loss 1.4951 | Time 142.6552
01:14:43 : Epoch 0001 | Step 0575 / 2968 | Loss 1.4942 | Time 143.9174
01:14:44 : Epoch 0001 | Step 0580 / 2968 | Loss 1.4938 | Time 145.1667
01:14:46 : Epoch 0001 | Step 0585 / 2968 | Loss 1.4936 | Time 146.4130
01:14:47 : Epoch 0001 | Step 0590 / 2968 | Loss 1.4930 | Time 147.6563
01:14:48 : Epoch 0001 | Step 0595 / 2968 | Loss 1.4929 | Time 148.8956
01:14:49 : Epoch 0001 | Step 0600 / 2968 | Loss 1.4925 | Time 150.1368
01:14:51 : Epoch 0001 | Step 0605 / 2968 | Loss 1.4920 | Time 151.3971
01:14:52 : Epoch 0001 | Step 0610 / 2968 | Loss 1.4917 | Time 152.6474
01:14:53 : Epoch 0001 | Step 0615 / 2968 | Loss 1.4911 | Time 153.8807
01:14:54 : Epoch 0001 | Step 0620 / 2968 | Loss 1.4901 | Time 155.1170
01:14:56 : Epoch 0001 | Step 0625 / 2968 | Loss 1.4898 | Time 156.3702
01:14:57 : Epoch 0001 | Step 0630 / 2968 | Loss 1.4897 | Time 157.6155
01:14:58 : Epoch 0001 | Step 0635 / 2968 | Loss 1.4891 | Time 158.8768
01:14:59 : Epoch 0001 | Step 0640 / 2968 | Loss 1.4888 | Time 160.1311
01:15:01 : Epoch 0001 | Step 0645 / 2968 | Loss 1.4880 | Time 161.3884
01:15:02 : Epoch 0001 | Step 0650 / 2968 | Loss 1.4884 | Time 162.6387
